INSTANCE	NODE,EDGES	COLORS	RESULT(CONFLICT))	EXECTIME	NIT/MAXIT	FIXLONG	PROPLONG	RESTART
instances/DSJC500.5.col	(500,125248)	62	COLORED(C:0)	0sec	632/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	61	COLORED(C:0)	1sec	833/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	60	COLORED(C:0)	1sec	892/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	59	COLORED(C:0)	0sec	973/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	58	COLORED(C:0)	2sec	1756/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	57	COLORED(C:0)	1sec	1468/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	56	COLORED(C:0)	2sec	3732/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	55	COLORED(C:0)	3sec	4442/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	54	COLORED(C:0)	7sec	12174/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	53	COLORED(C:0)	7sec	9716/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	52	COLORED(C:0)	319sec	495496/25000it	21fix	0.60prop	r:9
instances/DSJC500.5.col	(500,125248)	52	COLORED(C:0)	122sec	179354/25000it	21fix	0.60prop	r:3
instances/DSJC500.5.col	(500,125248)	52	COLORED(C:0)	29sec	43051/25000it	21fix	0.60prop	r:0
instances/DSJC500.5.col	(500,125248)	51	FAILED(C:9)	329sec	533541/25000it	21fix	0.60prop	r:10
instances/DSJC500.5.col	(500,125248)	51	FAILED(C:6)	256sec	456725/25000it	21fix	0.60prop	r:10
instances/DSJC500.5.col	(500,125248)	51	FAILED(C:6)	305sec	540581/25000it	21fix	0.60prop	r:10
